2 Corinthians 11:11	Wherefore? because I love you not? God knoweth.
2 Corinthians 11:12	But what I do, that I will do, that I may cut off occasion from them which desire occasion; that wherein they glory, they may be found even as we.
2 Corinthians 11:13	For such are false apostles, deceitful workers, transforming themselves into the apostles of Christ.
2 Corinthians 11:14	And no marvel; for Satan himself is transformed into an angel of light.
2 Corinthians 11:15	Therefore it is no great thing if his ministers also be transformed as the ministers of righteousness; whose end shall be according to their works.
2 Corinthians 11:16	I say again, Let no man think me a fool; if otherwise, yet as a fool receive me, that I may boast myself a little.
2 Corinthians 11:17	That which I speak, I speak it not after the Lord, but as it were foolishly, in this confidence of boasting.
2 Corinthians 11:18	Seeing that many glory after the flesh, I will glory also.
2 Corinthians 11:19	For ye suffer fools gladly, seeing ye yourselves are wise.
2 Corinthians 11:20	For ye suffer, if a man bring you into bondage, if a man devour you, if a man take of you, if a man exalt himself, if a man smite you on the face.
2 Corinthians 11:21	I speak as concerning reproach, as though we had been weak. Howbeit whereinsoever any is bold, (I speak foolishly,) I am bold also.
2 Corinthians 11:22	Are they Hebrews? so am I. Are they Israelites? so am I. Are they the seed of Abraham? so am I.
2 Corinthians 11:23	Are they ministers of Christ? (I speak as a fool) I am more; in labours more abundant, in stripes above measure, in prisons more frequent, in deaths oft.
2 Corinthians 11:24	Of the Jews five times received I forty stripes save one.
2 Corinthians 11:25	Thrice was I beaten with rods, once was I stoned, thrice I suffered shipwreck, a night and a day I have been in the deep;
2 Corinthians 11:26	In journeyings often, in perils of waters, in perils of robbers, in perils by mine own countrymen, in perils by the heathen, in perils in the city, in perils in the wilderness, in perils in the sea, in perils among false brethren;
2 Corinthians 11:27	In weariness and painfulness, in watchings often, in hunger and thirst, in fastings often, in cold and nakedness.
2 Corinthians 11:28	Beside those things that are without, that which cometh upon me daily, the care of all the churches.
2 Corinthians 11:29	Who is weak, and I am not weak? who is offended, and I burn not?
2 Corinthians 11:30	If I must needs glory, I will glory of the things which concern mine infirmities.
2 Corinthians 11:31	The God and Father of our Lord Jesus Christ, which is blessed for evermore, knoweth that I lie not.
2 Corinthians 11:32	In Damascus the governor under Aretas the king kept the city of the Damascenes with a garrison, desirous to apprehend me:
2 Corinthians 11:33	And through a window in a basket was I let down by the wall, and escaped his hands.
2 Corinthians 12:1	It is not expedient for me doubtless to glory. I will come to visions and revelations of the Lord.
2 Corinthians 12:2	I knew a man in Christ above fourteen years ago, (whether in the body, I cannot tell; or whether out of the body, I cannot tell: God knoweth;) such an one caught up to the third heaven.
2 Corinthians 12:3	And I knew such a man, (whether in the body, or out of the body, I cannot tell: God knoweth;)
2 Corinthians 12:4	How that he was caught up into paradise, and heard unspeakable words, which it is not lawful for a man to utter.
2 Corinthians 12:5	Of such an one will I glory: yet of myself I will not glory, but in mine infirmities.
2 Corinthians 12:6	For though I would desire to glory, I shall not be a fool; for I will say the truth: but now I forbear, lest any man should think of me above that which he seeth me to be, or that he heareth of me.
2 Corinthians 12:7	And lest I should be exalted above measure through the abundance of the revelations, there was given to me a thorn in the flesh, the messenger of Satan to buffet me, lest I should be exalted above measure.
2 Corinthians 12:8	For this thing I besought the Lord thrice, that it might depart from me.
2 Corinthians 12:9	And he said unto me, My grace is sufficient for thee: for my strength is made perfect in weakness. Most gladly therefore will I rather glory in my infirmities, that the power of Christ may rest upon me.
2 Corinthians 12:10	Therefore I take pleasure in infirmities, in reproaches, in necessities, in persecutions, in distresses for Christ's sake: for when I am weak, then am I strong.
2 Corinthians 12:11	I am become a fool in glorying; ye have compelled me: for I ought to have been commended of you: for in nothing am I behind the very chiefest apostles, though I be nothing.
2 Corinthians 12:12	Truly the signs of an apostle were wrought among you in all patience, in signs, and wonders, and mighty deeds.
2 Corinthians 12:13	For what is it wherein ye were inferior to other churches, except it be that I myself was not burdensome to you? forgive me this wrong.
2 Corinthians 12:14	Behold, the third time I am ready to come to you; and I will not be burdensome to you: for I seek not your's but you: for the children ought not to lay up for the parents, but the parents for the children.
2 Corinthians 12:15	And I will very gladly spend and be spent for you; though the more abundantly I love you, the less I be loved.
2 Corinthians 12:16	But be it so, I did not burden you: nevertheless, being crafty, I caught you with guile.
2 Corinthians 12:17	Did I make a gain of you by any of them whom I sent unto you?
2 Corinthians 12:18	I desired Titus, and with him I sent a brother. Did Titus make a gain of you? walked we not in the same spirit? walked we not in the same steps?
2 Corinthians 12:19	Again, think ye that we excuse ourselves unto you? we speak before God in Christ: but we do all things, dearly beloved, for your edifying.
2 Corinthians 12:20	For I fear, lest, when I come, I shall not find you such as I would, and that I shall be found unto you such as ye would not: lest there be debates, envyings, wraths, strifes, backbitings, whisperings, swellings, tumults:
2 Corinthians 12:21	And lest, when I come again, my God will humble me among you, and that I shall bewail many which have sinned already, and have not repented of the uncleanness and fornication and lasciviousness which they have committed.
2 Corinthians 13:1	This is the third time I am coming to you. In the mouth of two or three witnesses shall every word be established.
2 Corinthians 13:2	I told you before, and foretell you, as if I were present, the second time; and being absent now I write to them which heretofore have sinned, and to all other, that, if I come again, I will not spare:
2 Corinthians 13:3	Since ye seek a proof of Christ speaking in me, which to you-ward is not weak, but is mighty in you.
2 Corinthians 13:4	For though he was crucified through weakness, yet he liveth by the power of God. For we also are weak in him, but we shall live with him by the power of God toward you.
2 Corinthians 13:5	Examine yourselves, whether ye be in the faith; prove your own selves. Know ye not your own selves, how that Jesus Christ is in you, except ye be reprobates?
2 Corinthians 13:6	But I trust that ye shall know that we are not reprobates.
2 Corinthians 13:7	Now I pray to God that ye do no evil; not that we should appear approved, but that ye should do that which is honest, though we be as reprobates.
2 Corinthians 13:8	For we can do nothing against the truth, but for the truth.
2 Corinthians 13:9	For we are glad, when we are weak, and ye are strong: and this also we wish, even your perfection.
2 Corinthians 13:10	Therefore I write these things being absent, lest being present I should use sharpness, according to the power which the Lord hath given me to edification, and not to destruction.
2 Corinthians 13:11	Finally, brethren, farewell. Be perfect, be of good comfort, be of one mind, live in peace; and the God of love and peace shall be with you.
2 Corinthians 13:12	Greet one another with an holy kiss.
2 Corinthians 13:13	All the saints salute you.
2 Corinthians 13:14	The grace of the Lord Jesus Christ, and the love of God, and the communion of the Holy Ghost, be with you all. Amen.
Galatians 1:1	Paul, an apostle, (not of men, neither by man, but by Jesus Christ, and God the Father, who raised him from the dead;)
Galatians 1:2	And all the brethren which are with me, unto the churches of Galatia:
Galatians 1:3	Grace be to you and peace from God the Father, and from our Lord Jesus Christ,
Galatians 1:4	Who gave himself for our sins, that he might deliver us from this present evil world, according to the will of God and our Father:
Galatians 1:5	To whom be glory for ever and ever. Amen.
Galatians 1:6	I marvel that ye are so soon removed from him that called you into the grace of Christ unto another gospel:
Galatians 1:7	Which is not another; but there be some that trouble you, and would pervert the gospel of Christ.
Galatians 1:8	But though we, or an angel from heaven, preach any other gospel unto you than that which we have preached unto you, let him be accursed.
Galatians 1:9	As we said before, so say I now again, if any man preach any other gospel unto you than that ye have received, let him be accursed.
Galatians 1:10	For do I now persuade men, or God? or do I seek to please men? for if I yet pleased men, I should not be the servant of Christ.
Galatians 1:11	But I certify you, brethren, that the gospel which was preached of me is not after man.
Galatians 1:12	For I neither received it of man, neither was I taught it, but by the revelation of Jesus Christ.
Galatians 1:13	For ye have heard of my conversation in time past in the Jews' religion, how that beyond measure I persecuted the church of God, and wasted it:
Galatians 1:14	And profited in the Jews' religion above many my equals in mine own nation, being more exceedingly zealous of the traditions of my fathers.
Galatians 1:15	But when it pleased God, who separated me from my mother's womb, and called me by his grace,
Galatians 1:16	To reveal his Son in me, that I might preach him among the heathen; immediately I conferred not with flesh and blood:
Galatians 1:17	Neither went I up to Jerusalem to them which were apostles before me; but I went into Arabia, and returned again unto Damascus.
Galatians 1:18	Then after three years I went up to Jerusalem to see Peter, and abode with him fifteen days.
Galatians 1:19	But other of the apostles saw I none, save James the Lord's brother.
Galatians 1:20	Now the things which I write unto you, behold, before God, I lie not.
Galatians 1:21	Afterwards I came into the regions of Syria and Cilicia;
Galatians 1:22	And was unknown by face unto the churches of Judaea which were in Christ:
Galatians 1:23	But they had heard only, That he which persecuted us in times past now preacheth the faith which once he destroyed.
Galatians 1:24	And they glorified God in me.
Galatians 2:1	Then fourteen years after I went up again to Jerusalem with Barnabas, and took Titus with me also.
Galatians 2:2	And I went up by revelation, and communicated unto them that gospel which I preach among the Gentiles, but privately to them which were of reputation, lest by any means I should run, or had run, in vain.
Galatians 2:3	But neither Titus, who was with me, being a Greek, was compelled to be circumcised:
Galatians 2:4	And that because of false brethren unawares brought in, who came in privily to spy out our liberty which we have in Christ Jesus, that they might bring us into bondage:
Galatians 2:5	To whom we gave place by subjection, no, not for an hour; that the truth of the gospel might continue with you.
Galatians 2:6	But of these who seemed to be somewhat, (whatsoever they were, it maketh no matter to me: God accepteth no man's person:) for they who seemed to be somewhat in conference added nothing to me:
Galatians 2:7	But contrariwise, when they saw that the gospel of the uncircumcision was committed unto me, as the gospel of the circumcision was unto Peter;
Galatians 2:8	(For he that wrought effectually in Peter to the apostleship of the circumcision, the same was mighty in me toward the Gentiles:)
Galatians 2:9	And when James, Cephas, and John, who seemed to be pillars, perceived the grace that was given unto me, they gave to me and Barnabas the right hands of fellowship; that we should go unto the heathen, and they unto the circumcision.
Galatians 2:10	Only they would that we should remember the poor; the same which I also was forward to do.
Galatians 2:11	But when Peter was come to Antioch, I withstood him to the face, because he was to be blamed.
Galatians 2:12	For before that certain came from James, he did eat with the Gentiles: but when they were come, he withdrew and separated himself, fearing them which were of the circumcision.
Galatians 2:13	And the other Jews dissembled likewise with him; insomuch that Barnabas also was carried away with their dissimulation.
Galatians 2:14	But when I saw that they walked not uprightly according to the truth of the gospel, I said unto Peter before them all, If thou, being a Jew, livest after the manner of Gentiles, and not as do the Jews, why compellest thou the Gentiles to live as do the Jews?
Galatians 2:15	We who are Jews by nature, and not sinners of the Gentiles,
Galatians 2:16	Knowing that a man is not justified by the works of the law, but by the faith of Jesus Christ, even we have believed in Jesus Christ, that we might be justified by the faith of Christ, and not by the works of the law: for by the works of the law shall no flesh be justified.
Galatians 2:17	But if, while we seek to be justified by Christ, we ourselves also are found sinners, is therefore Christ the minister of sin? God forbid.
Galatians 2:18	For if I build again the things which I destroyed, I make myself a transgressor.
Galatians 2:19	For I through the law am dead to the law, that I might live unto God.
Galatians 2:20	I am crucified with Christ: neverthless I live; yet not I, but Christ liveth in me: and the life which I now live in the flesh I live by the faith of the Son of God, who loved me, and gave himself for me.
Galatians 2:21	I do not frustrate the grace of God: for if righteousness come by the law, then Christ is dead in vain.
Galatians 3:1	O foolish Galatians, who hath bewitched you, that ye should not obey the truth, before whose eyes Jesus Christ hath been evidently set forth, crucified among you?
Galatians 3:2	This only would I learn of you, Received ye the Spirit by the works of the law, or by the hearing of faith?
Galatians 3:3	Are ye so foolish? having begun in the Spirit, are ye now made perfect by the flesh?
Galatians 3:4	Have ye suffered so many things in vain? if it be yet in vain.
Galatians 3:5	He therefore that ministereth to you the Spirit, and worketh miracles among you, doeth he it by the works of the law, or by the hearing of faith?
Galatians 3:6	Even as Abraham believed God, and it was accounted to him for righteousness.
Galatians 3:7	Know ye therefore that they which are of faith, the same are the children of Abraham.
Galatians 3:8	And the scripture, foreseeing that God would justify the heathen through faith, preached before the gospel unto Abraham, saying, In thee shall all nations be blessed.
Galatians 3:9	So then they which be of faith are blessed with faithful Abraham.
Galatians 3:10	For as many as are of the works of the law are under the curse: for it is written, Cursed is every one that continueth not in all things which are written in the book of the law to do them.
Galatians 3:11	But that no man is justified by the law in the sight of God, it is evident: for, The just shall live by faith.
Galatians 3:12	And the law is not of faith: but, The man that doeth them shall live in them.
